"storage_area","type","size","name","information","dosage",,"winery_name","vintage","purchase_price","quantity","other_vintages","visible","unclear","sales_price","glass_price","internal_notes"
296,"WHITE",,"Private Cuvée",,,"Grüner Veltliner, Sauvignon, Riesling","Pacherhof",2020,27.9,0,"2021-8",1,,89,14,
307,"WHITE",,"Gewürztraminer St. Valentin",,,,"St. Michael Eppan",2021,19.1,1,"2022-1 ",1,,63,10,"300-500m.ü.M. Handlese. Vinifikation im Stahltank."
309,"WHITE",,"Gewürztraminer",,,,"Pacherhof",2022,16.9,3,,1,,57,9,"650m.ü.M. Handlese. Gärung"
311,"WHITE",,"Gewürztraminer Feld",,,,"Armin Kobler",2022,10.6,2,,1,,42,6,"214m.ü.M. Vinifikation im Stahlfass auf der Feinhefe. Kein BSA. Keine Weinstabilisierung."
316,"WHITE",,"Gewürztraminer Exilissi Sell ",,,,"Baron di Pauli",2016,24.7,2,,1,,80,13,"480-550m.ü.M. Mehrtägige Mazeration. Gärung"
321,"WHITE",,"Gewürztraminer Kolbenhof",,,,"Hofstätter",2020,21.5,2,,1,,70,11,"einige Stunden Kontakt mit Schalen. Reifung für 8 Monate auf der Feinhefe mit wöchentlicher Batonnage"
323,"WHITE",,"Gewürztraminer Kolbenhof",,,,"Hofstätter",2009,25.05,1,"2007-1",1,,81,13,"einige Stunden Kontakt mit Schalen. Reifung für 8 Monate auf der Feinhefe mit wöchentlicher Batonnage"
325,"WHITE",,"Gewürztraminer Nussbaumer",,,,"Kellerei Tramin",2022,21.5,3,,1,,70,11,"350-550m.ü.M. Gärung"
331,"WHITE",,"Gewürztraminer ",,,,"Gumphof",2018,11.65,2,,1,,45,7,"Vinifikation"
333,"WHITE",,"Gewürztraminer Kastelaz",,,,"Elena Walch",2022,26.9,3,,1,,86,14,"350.m.ü.M. Maischekontakt von 6h. Gärung"
334,"WHITE",,"Gewürztraminer Epokale",,,,"Kellerei Tramin",2016,,6,,1,,165,27,
335,"WHITE",,"Gewürztraminer Epokale",,,,"Kellerei Tramin",2015,65,3,,1,,175,29,
339,"WHITE",,"Goldmuskateller",,,,"Bessererhof",2013,7.75,2,,1,,32,5,"Ausbau"
340,"WHITE",,"Goldmuskateller",,,,"Klosterhof",2012,7.9,3,,1,,33,5,"450.m.ü.M.  Gärung"
341,"WHITE",,"Moscato Giallo BIO","BIO",,,"Manincor",2021,12.2,2,,1,,47,7,"350m.ü.M. 12h Mazeration. Gärung"
342,"WHITE",,"Flow",,,"trebbiano, vermentino, malvasia bianca, canaiolo bianco …","AMProjects",2022,48,10,,1,,106,17,
343,"WHITE",,"Nosiola",,,,"Cesconi",2020,11.2,2,"2011-1",1,,44,7,
344,"WHITE",,"Terre Bianche",,,,"De Vigili",2020,9.5,14,,1,,38,6,
347,"WHITE",,"Ribolla Zuc di Volpe",,,"Ribolla ( autochton)","Volpe Pasini",2013,10.25,3,,1,,40,6,"Gärung: Stahltank. Ausbau"
348,"WHITE",,"Sauvignon de la Tour ",,,,"Villa Russiz",2017,23,2,"2020-1 ",1,,75,12,"Handlese. Kelterung der ganzen Trauben. Mind. 7 Monate auf der Hefe. Abfüllung nach 9 Monaten."
349,"WHITE",,"Friulano Collio ",,,"tocai friulano","Villa Russiz",2021,12.3,3,,1,,47,7,"Handlese. 12h Maischezeit. Geringer Teil in 225l Eichenholzfässer gegärt. 10 Monate auf der Hefe. Nach 12 Monaten wird er abgefüllt."
351,"WHITE",,"Sauvignon",,,,"Puiatti",2017,9,5,,1,,36,6,
352,"WHITE",,"Madre ","BIO",,"incrocio manzoni 6.0.13","Italo Cescon",2019,19.5,6,,1,,65,10,
353,"WHITE",,"Soave Vintage ",,,"25-30%garganega, 25%trebbiano, 20%tocai, 15%cortese, riesling italico, pinot blanc, chardonnay ","bertani",2016,9,1,,1,,36,6,
354,"WHITE",,"Lugana Brolettino ",,,"turbiana","Cà dei Frati",2021,14.2,1,"2022-2 ",1,,49,8,"Gärung: Stahltank.  Ausbau: Barriques für 10 Monate mit teilweise BSA. 3 Monate Flaschenlagerung."
356,"WHITE",,"Derthona Timorasso ",,,"timorasso","Mariotto Claudo",2019,11.2,1," 2021-2",1,,44,7,"250-300m.ü.M. Handlese. Auf der Hefe gelagert."
357,"WHITE",,"Blanc de Morgex et de La Salle ""Nathan"" ",,,"prié blanc","Ermes Pavese",2012,12.5,4,,1,,48,7,"900-1200m.ü.M. Handlese. Handgepresst. Mazeration für 48h. Ausbau: 1 Jahr 70% im franz. Barriques, mit batonnage, 30% im Stahlfass. 10 Moante Flaschenlagerung."
358,"WHITE",,"Petite Arvine ",,,"petite arvine","Les Crêtes",2018,10.9,2,,1,,43,7,"550-650m.ü.M. Handlese. Gärung"
359,"WHITE",,"Chardonnay",,,,"Les Crêtes",2016,13.55,1,"2018-3 ",1,,47,7,"600-850m.ü.M. Handlese. Gärung"
360,"WHITE",,"Sopraquota 900",,,"petite arvine","Rosset",2020,32.7,0,,1,,90,14,
361,"WHITE",,"Chardonnay ",,,,"Monteverro",2018,68.9,1,"2021-2 ",1,,152,25,"Pressen der ganzen Beeren. Natürliche Gärung. Ausbau"
362,"WHITE",,"Solosole Bolgheri Vermentino",,,,"Tenuta al Tesoro",2017,30.7,16,,1,,84,14,
363,"WHITE",,"Viognier Ars Magna",,,"viognier","Omina Romana",2020,35.9,3,,1,,99,16,
367,"WHITE",,"Verdicchio Jesi Classico Superiore ""Il Coroncino"" ",,,,"Coroncino",2013,7.8,2,,1,,32,5,"12 Monate im Stahl."
368,"WHITE",,"Massaccio Verdicchio Superiore",,,,"fazi battaglia",2016,,3,,1,,33,5,
370,"WHITE",,"Chardonnay",,,,"Planeta",2014,16.2,3,,1,,55,9,"Ausbau"
377,"WHITE",,"Grüner Veltliner Federspiel Rotes Tor",,,"Wachau","Hirtzberger",2021,25,3,,1,,81,13,
378,"WHITE",,"Grüner Veltliner Smaragd Hochrain",,,"Wachau","Rudi Pichler",2021,35.5,0,"nicht gelistet",0,,98,16,"6 Jahre im Barrique. Nicht Filtriert. 4 Generation. einziges Spanisches Weingut, dass eigene Fässer aus amerikanischer Eiche produziert ( nur eigengebrauch)."
379,"WHITE",,"Grüner Veltliner Steinertal Smaragd",,,"Wachau","Alzinger",2016,32,0,"nicth gelistet",0,,88,14,
380,"WHITE",,"Grüner Veltliner Smaragd Ried Loibenberg",,,"Wachau","E. Knoll",2019,33.5,1,,1,,92,15,
381,"WHITE",,"Grüner Veltliner Smaragd Ried Loibenberg",,,"Wachau","E. Knoll",2008,62.5,2,,1,,138,22,
382,"WHITE",,"Grüner Veltliner Grub",,,"Kamptal","Hirsch",2019,31.9,3,,1,,88,14,
383,"WHITE",,"Grüner Veltliner Langenloiser Alter Reben","BIO",,"Kamptal","Bründlmayr",2020,38,5,,1,,105,17,
384,"WHITE",,"Grüner Veltliner Alte Reben ",,,"Kremstal","Nigl",2012,13.8,1,,1,,48,7,"600-750m.ü.M. Gärbehälter"
385,"WHITE",,"Grüner Veltliner Kalkvogel GV",,,"Weinviertel","Zillinger",2020,28.1,5,,1,,77,,
386,"WHITE",,"Grüner Veltliner Radikal GV",,,"Weinviertel","Zillinger",2019,47.9,6,,1,,105,,
388,"WHITE",,"Riesling Steinterassen  Federspiel ",,,"Wachau","Hirtzberger",2019,29,2,"2022-1",1,,80,13,
390,"WHITE",,"Riesling Smaragd Achleiten",,,"Wachau","Domäne Wachau",2016,21.5,2,,1,,70,11,
391,"WHITE",,"Riesling Smaragd Ried Kellerberg",,,"Wachau","E. Knoll",2022,43,6,,1,,118,19,
392,"WHITE",,"Riesling - Kamptaler Terrassen",,,"Kamptal","Bründlmayr",2021,12.95,3,,1,,49,,
393,"WHITE",,"Riesling - Zöbinger Heiligenstein Lyra",,,"Kamptal","Bründlmayr",2016,43.5,1,,1,,120,,
394,"WHITE",,"Sauvignon Grassnitzberg ",,,"Steiermark","Tement",2019,25.9,2,"2020-1 ",1,,84,13,"Ausbau"
395,"WHITE",,"Sauvignon Blanc Klausen ",,,"Steiermark","Neumeister",2012,16.1,2,,1,,54,9,"340m.ü.M. Rebalter; 10-25 Jahre. Gärung; Kaltmazeration 18-24h, fermentation im grossen Holz. Ausbau; 8 Monate im Holz auf der Hefe."
401,"WHITE",,"Riesling Steinreich",,,"Mosel","Clüsserath",2018,23.5,1,"2019-1 2021-1",1,,76,12,
402,"WHITE",,"Riesling Blauschiefer",,,"Mosel","Dr. Loosen",2018,14.1,2,"2021-1",1,,48,8,
403,"WHITE",,"Red Slate Dry (=Rotschiefer) QbA",,,"Mosel","Dr. Loosen",2022,11.85,3,,1,,46,,
404,"WHITE",,"Riesling Schieferterrassen",,,"Mosel","Heymann-Löwenstein",2019,23.9,3,,1,,78,12,
405,"WHITE",,"Graacher Domprobst GG",,,"Mosel","Dr. Loosen",2021,32.5,2,,1,,89,,
406,"WHITE",,"Erdener Treppchen GG Alte Reben",,,"Mosel","Dr. Loosen",2018,36.95,0,,1,,102,,
407,"WHITE",,"Riesling Wehlener Sonnenuhr - Spätlese ",,,"Mosel","Markus Molitor",2020,26.5,3,,1,,85,,
408,"WHITE",,"Riesling Wehlener Sonnenuhr  BKS Ring ",,,"Mosel","Kerpen",2018,19,2,,1,,63,10,
409,"WHITE",,"Zeltinger Sonnenuhr - Auslese ***",,,"Mosel","Markus Molitor",2019,94.5,2,,1,,208,,
410,"WHITE",,"Wehlener Sonnenuhr Alte Reben GG",,,"Mosel","Prüm",2013,49.5,5,,1,,109,,
411,"WHITE",,"Riesling Tonschiefer ",,,"Nahe","Dönnhoff",2022,14.95,3,,1,,51,8,"Handlese. Vergärung und Reife im Edelstahl und grossen Holzfass"
412,"WHITE",,"Riesling Hermannshöhle - Grösses Gewachs",,,"Nahe","Dönnhoff",2022,84.95,2,,1,,187,,
413,"WHITE",,"Dellchen - GG Grösses Gewachs",,,"Nahe","Dönnhoff",2021,79.75,2,,1,,175,,
414,"WHITE",,"Riesling Kalkmergel",,,"Pfalz","Knipser",2015,13.78,4,,1,,48,7,
416,"WHITE",,"Riesling Ungeheuer GG",,,"Pfalz","von Winning",2020,37.5,2,,1,,103,17,"Seit 1744, der Grossvater baute das Weingut nach dem 2. Weltkrieg wieder auf. 105-275m.ü.M. "
418,"WHITE",,"Riesling Westhofen",,,"Rheinhessen","Wittmann",2021,29,3,,1,,80,13,"spontan vergoren. Ausbau"
420,"WHITE",,"Riesling Kiedrich Turmberg ",,,"Rheingau","Robert Weil",2015,21.4,1,,1,,70,11,"Baut nur Riesling an. Handlese, beginnt selten vor Oktober und dauert bis zu 8 Wochen( nur die beste Qualität). Rebalter; 50+."
421,"WHITE",,"Silvaner Eigenart",,,"Franken","Max Müller",2012,13,23,,1,,67,11,
422,"WHITE",,"Grauer Burgunder Kähner GG",,,"Baden","Franz Keller",2021,26.15,4,,1,,84,14,
423,"WHITE",,"Grauer Burgunder Schlossberg GG",,,"Baden","Franz Keller",2021,32.9,2,,1,,90,,
424,"WHITE",,"Illusion",,,"Ahrtal","Meyer-Näkel",2021,23,6,,1,,75,,
427,"WHITE",,"Chablis Vaillon 1er Cru",,,,"Domaine Christian Moreau",2022,34,6,,1,,94,,"The soil is also from the Kimmeridgien period with clay-limestone marls very rich of marine fossils, and most specifically small oyster fossils, called Exogyra Virgula., 73 Jahre alte Rebstöcke 55% Stahl, 45% in Holz (2-3-4 Jahre, weniger als 5 % neues Holz für 8 Monate, Malolactic conversion"
428,"WHITE",,"Bourgogne Blanc Chardonnay",,,,"Michel Bouzereau & Fils",2021,28,3,,1,,90,14,"1 Jahr in 15% neuen Barique. 2 Monate im Tank. Seit 1991,leitet der Sohn Jean-Baptist (Oenologe) dass Weingut mit seinem Vater Michel."
429,"WHITE",,"Chablis ""Vielles Vignes"" ",,,,"Bessin Tremblay",2020,18.8,2,,1,,62,10,"Rebalter"
430,"WHITE",,"Chablis ""La Fourchaume"" 1er Cru",,,,"Jean-Claude Bessin",2018,32,0,"2021-6 ",1,,88,14,"Rebalter; 10-80 Jahre. 4. Generation. 12h Maischestandzeit. 21 Tage fermentation. Ausbau; 9 Monate 15% Im Barriques, 85% im Stahl auf der Feinhefe."
431,"WHITE",,"Chablis ""La Forêt"" 1er Cru ",,,,"Bessin-Temblay",2022,44,5,,1,,121,20,"Rebalter"
432,"WHITE",,"Chablis ""Valmur"" Grand Cru",,,,"Bessin-Temblay",2021,48,2,,1,,106,17,"Rebalter"
433,"WHITE",,"Chablis "" Les Clos"" Grand Cru",,,,"Domaine Christian Moreau",2021,58,4,,1,,128,21,"Ausbau im Holz und Flaschenlagerung. Domaine seit Generationen im Besitz, einer der ältesten & meist respektierten Namen in der Chablis."
434,"WHITE",,"Chablis Vaillon",,,,"Moreau",2021,33,1,,1,,91,15,
435,"WHITE",,"Chablis Mont De Milieu",,,,"De Fleys",2020,43.5,5,,1,,120,,
436,"WHITE",,"Pernand-Vergelesses",,,,"Domaine Denis Père e Fils",2021,39.95,3,,1,,110,,
437,"WHITE",,"St. Romain",,,,"Domain Père Germain",2021,31.95,2,,1,,88,14,"Ausbau im Holz und Flaschenlagerung. Domaine seit Generationen im Besitz, einer der ältesten & meist respektierten Namen in der Chablis."
438,"WHITE",,"Mersault ""Les Genevrières""",,,,"Michel Bouzereau & Fils",2022,112,3,,1,,246,41,
439,"WHITE",,"Mersault ""Les Grands Charrons""",,,,"Michel Bouzereau & Fils",2021,48,0,,1,,106,17,"1 Jahr in 25% neuen Barrique. 3 Monate im Tank. Seit 1991,leitet der Sohn Jean-Baptist (Oenologe) dass Weingut mit seinem Vater Michel."
440,"WHITE",,"Meursault 1er Cru ""Les Perrières"" ",,,,"Michel Bouzereau & Fils",2021,150,2,,1,,330,55,"16-18 Monate in 30% neuen Barrique. Seit 1991,leitet der Sohn Jean-Baptist (Oenologe) dass Weingut mit seinem Vater Michel."
441,"WHITE",,"Mersault ""Les Tessons"" ",,,,"Michel Bouzereau & Fils",2020,80,1,"2021-6 ",1,,176,29,"16-18 Moante in 1/3 neuen Barrique. Seit 1991,leitet der Sohn Jean-Baptist (Oenologe) dass Weingut mit seinem Vater Michel."
442,"WHITE",,"Mersault-Blagny Premier Cru ",,,,"Chapelle de Blagny",2019,70.4,5,,1,,155,,
443,"WHITE",,"Puligny Montrachet ",,,,"Bachelet-Monnot",2021,64,0,"nicht gelistet",0,,141,23,"Handlese. Giebt es seit 2005, sind zwei Brüder."
444,"WHITE",,"Batard-Montrachet Grand Cru",,,,"Bachelet-Monnot",2018,250,1,,1,,550,91,
445,"WHITE",,"Chassagne Montrachet",,,,"Philippe Colin",2020,38,1,,1,,105,17,"Die Domaine Philippe Colin giebt es seit 2004."
446,"WHITE",,"Chassagne Montrachet 1er Cru ""Chenevottes"" ",,,,"Philippe Colin",2021,50,0,"nicth gelistet",0,,110,18,"Die Domaine Philippe Colin giebt es seit 2004."
448,"WHITE",,"Macon La Roche Vineuse Blanc ""Les Cras""",,,,"Olivier Merlin",2017,18.42,4,,1,,61,10,
449,"WHITE",,"Saint Veran ""Le Grand Bussière""",,,,"Olivier Merlin",2017,18.42,6,,1,,61,10,
450,"WHITE",,"Pouilly Fuissé  ""Sur la Roche""",,,,"Olivier Merlin",2017,22.39,0,"nicht gelistet",0,,73,12,
452,"WHITE",,"Sancerre ""Les Monts Damnés"" ",,,"Sauvignon Blanc","Pascal Cotat",2020,32,5,,1,,88,14,"300m.ü.M. Rebalter; 40Jahre. Ökologischer Anbau. Spontane Vergärung. 8 Monate auf der Hefe in gebrauchten barrique. Vater & Sohn. Sie lesen ihre Trauben mindestens 10 Tage später als die anderen. Nach dem Pressen kommt der Wein in Holzfässer (normalerweise in dieser Region in Stahltanks), und einzigartig für die Sancerre, dass ihre Weine nicht Filtriert oder geschönt werden."
453,"WHITE",,"Sancerre ""La Grande Côte"" ",,,"Sauvignon Blanc","Pascal Cotat",2020,32,4,,1,,88,14,"Rebalter; 40 Jahre. spontane Gärung, 8 Monate in gebrauchten Barrique. Vater & Sohn. Sie lesen ihre Trauben mindestens 10 Tage später als die anderen. Nach dem Pressen kommt der Wein in Holzfässer (normalerweise in dieser Region in Stahltanks), und einzigartig für die Sancerre, dass ihre Weine nicht Filtriert oder geschönt werden."
454,"WHITE",,"L'Etoile Savagnin",,,"Jura France","Montbourgeau",2018,29,3,,1,,80,13,
455,"WHITE",,"Condrieu",,,,"Duclaux",2020,40,0,"nicth gelistet",0,,110,18,"im Stahl ausgebaut."
456,"WHITE",,"Châteauneuf-du-pape ",,,,"Vieux Télégrapf",2021,45,3,,1,,124,20,
461,"WHITE",,"Artemis Karamolegos ""Pyritis""",,,"Assyrtiko","Santorini",2020,35,2,,1,,96,16,
462,"WHITE",,"Vina Tondonia Blanco Reserva ",,,"90% Viura, 10% Malvasia","López de Heredia",2007,28.5,0,"nicht gelistet",0,,96,16,"6 Jahre im Barrique. Nicht Filtriert. 4 Generation. einziges Spanisches Weingut, dass eigene Fässer aus amerikanischer Eiche produziert ( nur eigengebrauch)."
463,"WHITE",,"Sauvignon Blanc Little Beauty Black Edition",,,"New Zealand Marlborough","Vinultra",2018,40.7,5,,1,,112,18,
464,"WHITE",,"Heida",,,"Savagnin Blanc (Heida, Paien)",,2015,18.5,2,,1,,62,10,
469,"WHITE","PICCOLO","Weissburgunder Schulthauser",,,,"St. Michael Eppan",2021,5.4,0,"2022-2",1,,26,4,"480-600m.ü.M. grösser Teil im Stahltank ausgebaut, ein kleiner Teil im Holzfass."
470,"WHITE","PICCOLO","Weissburgunder Plattenriegel",,,,"Kellerei Girlan",2019,5.25,1,"2020-2",1,,25,4,"400m.ü.M. Handlese. Gärung"
471,"WHITE","PICCOLO","Chardonnay Lafoa",,,,"Schreckbichl Colterenzio",2022,12.9,3,,1,,49,8,
473,"WHITE","PICCOLO","Sauvignon St. Valentin",,,,"St. Michael Eppan",2021,9.7,1,"2022-2",1,,39,6,"Kellerei mit 350 Genossenschaftsmitglieder und Weinbauern"
474,"WHITE","PICCOLO","Terlaner ",,,"60% Weissburgunder, 30% Chardonnay, 10% Sauvignon","Kellerei Terlan",2022,7.6,3,,1,,32,5,"250-900m.ü.M. Handlese. Gärung; Stahltank. Ausbau; auf der Feinhefe, 80% im Stahl, 20% im grossen Holzfass. Assemblage, 1 Monat vor der Abfüllung."
475,"WHITE","PICCOLO","Pinot Grigio ",,,,"Alois Lageder",2022,5.15,3,,1,,25,4,
479,"WHITE","MAGNUM","Weissburgunder Riserva Barthenau ",,,,"Hofstätter",2018,,1,,1,,115,19,
480,"WHITE","MAGNUM","Weissburgunder Riserva Vorberg",,,,"Kellerei Terlan",2015,54.7,2,,1,,120,20,"250-900m.ü.M. Handlese. Gärung"
483,"WHITE","MAGNUM","Troy",,,,,2020,110,2,,1,,242,40,
484,"WHITE","MAGNUM","Nova Domus ",,,,,2007,38,1,,1,,135,22,"250-900m.ü.M.  Gärung; im grossen Eichenfass. Pinot & Chardonnay mit BSA. Ausbau; 12 Monate auf der Feinhefe, 50% grosses Holzfass, 50% Tonneau. Assemblage 3 Monate vor der Abfüllung."
487,"WHITE","MAGNUM","Sauvingon Quarz ",,,,"Kellerei Terlan",2021,76.9,1,"2020-2",1,,169,28,"Gärung und Reife für 9 Monate auf der Feinhefe, 50% grosses Holzfass, 50% Tonneau. Assemblage, 3 Monate vor der Abfüllung."
489,"WHITE","MAGNUM","Sauvignon Lafoa ",,,,"Schreckbichl Colterenzio",2021,41,1,,1,,115,19,"Gärung; 50% Edelstahl, 50%Holzfass/Barrique (Teilweise BSA). Ausbau; 8 Monate auf der Hefe."
490,"WHITE","MAGNUM","Stoan ",,,"chardonnay, pinot blanc, sauvignon, gewürztraminer","Kellerei Tramin",2016,39.9,1,,1,,110,18,"400-600m.ü.M. "
491,"WHITE","MAGNUM","Kerner",,,,"Köfererhof",2012,,1,,1,,78,13,
492,"WHITE","MAGNUM","Kerner ",,,,"Taschlerhof",2011,24,1,,1,,78,12,
493,"WHITE","MAGNUM","Grüner Veltliner BIO",,,,"Garlider",2010,25,1,,1,,81,13,
499,,,"Lagrein Kretzer ",,,,"Muri Gries",2023,8.7,3,,1,,35,5,"260m.ü.m.M. Gärung"
501,,,"Lagrein Rosé ",,,,"Rottensteiner",2021,7.1,1,,1,,30,5,"Ausbau"
508,,,"La Rose de Manincor BIO","BIO",,"Lagrein, Merlot, Cabernet, Pinot Noir, Petit Verdot, Tempranillo, Syrah","Manincor",2023,15.5,3,,1,,53,8,"250m.ü.M. 6-12h Maischestandzeit.  Most vergärt in Holzfässern zum Teil spontan mit Traubeneigener Hefe. 5 Moante Hozfassreife auf der Feinhefe."
514,,,"Rosa dei Frati",,,"Groppello, Marzemino, Sangiovese, Barbera","Cà dei Frati",2023,10,2,"2021-1  ",1,,40,6,"Gärung; Stahltank.  80% BSA. Ausbau; 6 Monate auf der Feinhefe im Stahlfass, 2 Monate Flaschenlagerung"
531,"RED",,"Vernatsch Mirum",,,,"Kandlerhof",2021,23.9,3,,1,,78,12,
532,"RED",,"St. Magdalener Glögglhof",,,,"Franz Gojer",2023,9.5,2,"2019-1  ",1,,38,6,
533,"RED",,"St. Magdalener ",,,"94% Vernatsch, 6% Lagrein","Wassererhof",2020,7,2,,1,,31,5,"350m.ü.M. Gärung"
534,"RED",,"St. Magdalener Antheos  ",,,"Edelvernatsch, Garuvernatsch, Tschaggelevernatsch, Mittervernatsch, historische Vernatscharten und Lagrein","Ansitz Waldgries",2021,16.2,1,"2022-2",1,,55,9,"250m.ü.M. Gärung; 20% mit ganzen Trauben, lange Maischestandzet. Ausbau; grosses Holzfass"
535,"RED",,"Dona Rouge ",,,"Vernatsch, 2% Lagrein, 3% Blauburgunder","Hartmann Donà",2017,20.3,2,,1,,67,11,"450m.ü.M. Ausbau; 23 Monate im Holzfass, 2 Jahre Flaschenreife"
538,"RED",,"Isarcus",,,,"Griesbauerhof",2021,14.9,2,,1,,51,8,
542,"RED",,"Zweigelt Roan  ",,,,"Bessererhof",2016,12.1,1,"2019-2 ",1,,47,7,
548,"RED",,"Blauburgunder Riserva Maglen",,,,"Kellerei Tramin",2021,24.5,8,,1,,73,12,
549,"RED",,"Blauburgunder Riserva Maglen",,,,"Kellerei Tramin",2020,22.5,6,"2019-1",1,,79,13,"350-700m.ü.M. Gärung"
550,"RED",,"Blauburgunder Vom Roten Kalk ",,,,"Weingut Abraham",2021,27.9,4,,1,,89,14,
552,"RED",,"Blauburgunder Hausmannshof Riserva ",,,,"Haderburg",2017,36.5,4,"2018-3",1,,100,16,"350-550m.ü.M. Gärung"
553,"RED",,"Blauburgunder Castel Juval ",,,,"Castel Juval - Unterortl",2018,18.5,1,"2019-2",1,,62,10,
554,"RED",,"Blauburgunder Lafoa",,,,"Schreckbichl Colterenzio",2019,27.9,2,"2020-1",1,,89,14,"400m.ü.M. Gärung"
555,"RED",,"Blauburgunder Riserva Trattmann Mazon",,,,"Kellerei Girlan",2021,26.9,3,,1,,86,14,
557,"RED",,"Pinot Noir Gols",,,,"Griesser",2018,12.9,7,,1,,51,8,"400m.ü.M. Gärung; im grossen Holzfass mit 2 Wochen Maischekontakt und Unterstossen des Trester. Ausbau; BSA, 1 Jahr im Eichenfass 500l, 8-10 Moante im grossen Eichenfass. 1 Jahr Flaschenlagerung."
558,"RED",,"Blauburgunder Riserva Matán ",,,,"Ansitz Pfitscher",2020,28,1," 2021-2 ",1,,90,14,
560,"RED",,"Blauburgunder Pigeno",,,,"Stroblhof",2020,18,1,"2021-2",1,,60,10,"500.mü.M. Gärung"
561,"RED",,"Blauburgunder Riserva",,,,"Stroblhof",2018,28.9,1,"2019-2",1,,88,14,"500m.ü.M. Gärung"
562,"RED",,"Blauburgunder Barthenau Vigna San Urbano ",,,,"Hofstätter",2018,45.8,2,"2011-1 2019-1",1,,120,20,"Gärung; 10 Tage mit 25% intakten Trauben und Umwälzung. Ausbau; 14 Monate in kleinen Eichenholzfässern, assamblage, 7 Monate im grossen Eichenholzfass, Abfüllung, 12 Monate Flaschenlagerung."
563,"RED",,"Blauburgunder Praesulis",,,,"Gumphof",2021,20.5,1,,1,,67,11,"Gärung; 10 Tage mit 25% intakten Trauben und Umwälzung. Ausbau; 14 Monate in kleinen Eichenholzfässern, assamblage, 7 Monate im grossen Eichenholzfass, Abfüllung, 12 Monate Flaschenlagerung."
564,"RED",,"Blauburgunder Riserva Renaissance",,,,"Gumphof",2019,45.9,4,,1,,101,16,"Gärung; 10 Tage mit 25% intakten Trauben und Umwälzung. Ausbau; 14 Monate in kleinen Eichenholzfässern, assamblage, 7 Monate im grossen Eichenholzfass, Abfüllung, 12 Monate Flaschenlagerung."
566,"RED",,"Blauburgunder Krafuss ",,,,"Tenutae Lageder",2020,37.4,1,"2022-2 ",1,,103,17,"BIO, 450-520m.ü.M. Gärung; spntan ca. 14 Tage. Ausbau; 12 Monate teilweise im Edelstahl, teilweise in kleinen Holzfässern 225l, (franz.Eiche 1/3 neu)"
567,"RED",,"Blauburgunder Mason di Mason",,,,"Manincor",2019,59,1,"2020-2  ",1,,130,21,"400-450m.ü.M. Gärung; Holzbottich, spontan mit Traubeneigener Hefe. Mazeration 2 Wochen mit Untertauchen der Trester.Ausbau; 12 Monate im Barrique 25% neu, auf der Feinhefe. "
571,"RED",,"Blauburgunder Riserva",,,,"Laimburg",2020,13.6,1,"2021-2 ",1,,47,7,"350-550m.ü.M. Holz ausbau für 15 Monate"
572,"RED",,"Blauburgunder Riserva Abtei",,,,"Muri Gries",2020,18.6,3,,1,,62,10,"500-600m.ü.M. Gärung; edelstahl. Ausbau; BSA, 12 Monate in kleinen Holzfässern."
573,"RED",,"Blauburgunder Riserva Monticol",,,,"Kellerei Terlan",2018,20.3,1,"2021-1 2020-1 2016-1",1,,67,11,"450-760m.ü.M. Handlese. Gärung; Edelstahltank. Ausbau; BSA, 12 Monate 50% in grossen Holz, 50% in Barrique(1/3neu). 3 Monate Flaschenlagerung."
574,"RED",,"Blauburgunder Saltner ",,,,"Kellerei Kaltern",2017,13.2,1,"2021-2 ",1,,46,7,"400-500m.ü.M. Gärung; Holzgärbottich, 2 wöchige Mazeration. Ausbau; BSA; 12 Monate im Tonneau."
575,"RED",,"Blauburgunder Sanct Valentin",,,,"St. Michael Eppan",2020,26.5,2,"2021-1 ",1,,85,14,
577,"RED",,"Blauburgunder Turmhof ",,,,"Tiefenbrunner",2021,15,3,,1,,51,8,"450-550m.ü.M. Gärung; Edelstahltank. Ausbau; BSA, 8 Monate in grossen und kleinen Eichenfässern"
579,"RED",,"Dona Noir ",,,,"Hartmann Donà",2015,52,3,,1,,114,19,"Gärung"
584,"RED",,"Vinschgau Blauburgunder Sonnenberg ",,,,"Kellerei Meran",2011,8,2,"2012-1",1,,33,5,
585,"RED",,"Blauburgunder Bachgart",,,,"Hemberg - Klaus Lentsch",2011,10.2,2,,1,,40,6,"400-600m.ü.M. Gärung; im Holz für ca. 2 Wochen. Ausbau;  20 Monate Barrique mit BSA, einige Monate Flaschenlagerung."
586,"RED",,"Blauburgunder Panigl",,,,"Klosterhof",2012,14,2,,1,,48,8,"Gärung; spontan im offenen Holzbottich. Ausbau; BSA, Barrique"
587,"RED",,"Blauburgunder Schwarze Madonna",,,,"Klosterhof",2019,18.5,3,,1,,62,10,
588,"RED",,"Blauburgunder Riserva Linticlarus",,,,"Tiefenbrunner",2020,29,4,,1,,80,13,"400-500m.ü.M. Gärung; Edelstahltank. Ausbau; BSA, 12 Monate im EichenBarrique. 6 Monate grosses Holzfass. 1 Jahr Flaschenlagerung."
589,"RED",,"Blauburgunder Ludwig",,,,"Elena Walch",2018,27.5,1,"2020-2 ",1,,88,14,"550-600m.ü.M. Gärung"
