storage_area,TYPE,name,information,dosage,,winery_name,vintage,purchase_price,quantity,other vintages,Spalte12,sales_price,glass_price,internal_notes,,,,,,,
211,WHITE,Veltliner BIO,BIO,,,Garlider,2020,11.8,3,,,46,7,600-650m.ü.M. Gärung & Ausbau im Holzfass,,,,,,,
212,WHITE,,,,,,,,,,,7,1,,,,,,,,
213,WHITE,Veltliner,,,,Köfererhof,2018,15.9,1,R 2022-2,,54,8,700m.ü.M.6h Mazeration.  Gärung; Edelstahlbehälter. Ausbau; 6 Monate auf der Hefe.,,,,,,,
214,WHITE,,,,,,,,,,,7,1,,,,,,,,
215,WHITE,,,,,,,,,,,7,1,,,,,,,,
216,WHITE,,,,,,,,,,,7,1,,,,,,,,
217,WHITE,,,,,,,,,,,7,1,,,,,,,,
218,WHITE,Sauvignon,,,,,,,,,,7,1,,,,,,,,
219,WHITE,,,,,,,,,,,7,,,,,,,,,
220,WHITE,,,,,,,,,,,7,1,300m.ü.M. 12h Mazeration. Gärung; Holzfass spontan mit Traubeneigener Hefe. Ausbau; 9 Monate auf der Feinhefe,,,,,,,
221,WHITE,Sauvignon Tannenberg,BIO,,,Manincor,2020,20.5,1,2021-1 2022-1 ,,67,11,300m.ü.M. 12h Mazeration. Gärung; Holzfass spontan mit Traubeneigener Hefe. Ausbau; 9 Monate auf der Feinhefe,,,,,,,
222,WHITE,,,,,,,,,,,7,,,,,,,,,
223,WHITE,Sauvignon Floreado,,,,Kellerei Andrian,2022,9.8,3,,,39,6,260-380m.ü.M. Gärung; Edelstahltank. Ausbau;6 Moante auf der Feinhefe ,,,,,,,
224,WHITE,Sauvignon Mantele,,,,Nals Margreid,2020,15,3,,,51,8,7 Monate im Edelstahltank und Holzfass.,,,,,,,
225,WHITE,,,,,,,,,,,7,,,,,,,,,
226,WHITE,Sauvignon Stern,,,,Kellerei Kaltern,2021,10.2,2,,,40,6,500m.ü.M. Gärung; Edelstahltank. Ausbau; 1/3 im grossen Holzfass und Tonneau auf der Feinhefe. Rest im Edelstahl,,,,,,,
227,WHITE,Sauvignon Lafoa ,,,,Schreckbichl ,2021,18.9,1,2022-3 ,,63,10,"430m.ü.M. Vinifikation: 8 Monate auf der Hefe. 50% im Edelstahlbehälter, 50% im Bariques mit BSA. ",,,,,,,
228,WHITE,,,,,,,,,,,7,1,,,,,,,,
229,WHITE,,,,,,,,,,,7,,,,,,,,,
230,WHITE,,,,,,,,,,,7,,,,,,,,,
231,WHITE,,,,,,,,,,,7,1,,,,,,,,
232,WHITE,Sauvignon Lieben Aich Bio ,BIO,,,Manincor,2016,36.04,0,nicht gelistet,1,115,19,,,,,,,,
233,WHITE,Sauvignon Lieben Aich Bio ,BIO,,,Manincor,2021,46,7,,1,98,16,300m.ü.M. 12h Mazeration. Gärung; Holzfass spontan mit Traubeneigener Hefe. Ausbau; 10 Monate auf der Feinhefe,,,,,,,
234,WHITE,,,,,,,,,,,7,,,,,,,,,
235,WHITE,Sauvignon Lieben Aich Bio ,BIO,,,Manincor,2020,46,6,,,105,17,,,,,,,,
236,WHITE,Sauvignon Quarz,,,,Kellerei Terlan,2020,29.9,2,1,,102,17,,,,,,,,
237,WHITE,Sauvignon Quarz,,,,Kellerei Terlan,2021,37,12,,,95,15,,,,,,,,
238,WHITE,Sauvignon Quarz,,,,Kellerei Terlan,2022,39,12,nicht gelistet,,107,,,,,,,,,
239,WHITE,,,,,,,,,,,7,1,,,,,,,,
240,WHITE,,,,,,,,,,,7,1,,,,,,,,
241,WHITE,,,,,,,,,,,7,1,,,,,,,,
242,WHITE,Sauvignon Schliff,,,,St. Pauls,2020,25.2,3,,,81,13,"700m.ü.M.  100% im Edelstahl, Abfüllung im November",,,,,,,
243,WHITE,Sauvignon Myra,,,,Waldgries,2022,13.4,2,2023-1,,46,7,"550m.ü.M. Ausbau; 90% Stahl, 10% Barriques. Ein Teil wird mit ganzen Beeren vergoren. ",,,,,,,
244,WHITE,Sauvignon St. Valentin,,,,St. Michael Eppan,2022,19.4,1, 2023-2,,64,10,,,,,,,,
245,WHITE,,,,,,,,,,,7,,,,,,,,,
246,WHITE,Sauvignon Andrius,,,,Kellerei Andrian,2020,18.4,0,2021-2,1,61,10,260-380m.ü.M. Gärung; Edelstahlbehälter. Lagerung und Reife auf der Hefe für 6 Monate.,,,,,,,
247,WHITE,Sauvignon Praesulis,,,,Gumphof,2022,14.7,5,,1,50,8,,,,,,,,
248,WHITE,,,,,,,,,,,7,,,,,,,,,
249,WHITE,Sauvignon,,,,Thurnhof,2018,11.3,1, 2022-2,,44,7,grösster Teil der Reben auf 800m.ü.M.  Ausbau; Stahltank. ,,,,,,,
250,WHITE,Sauvignon Anphora,Bio,,,Tröpfltalhof,2018,42,5,,,116,,,,,,,,,
251,WHITE,,,,,,,,,,,7,1,,,,,,,,
252,WHITE,,,,,,,,,,,7,1,,,,,,,,
253,WHITE,,,,,,,,,,,7,1,,,,,,,,
254,WHITE,Müller Thurgau,,,,,,,,,,7,1,,,,,,,,
255,WHITE,Huaber Weingort ,,,,Vontavon Albert - Teis,2011,,7,,,7,1,"Der Wein wird Vergärt, Ausgebaut und Abgefüllt von Alois Lageder",,,,,,,
256,WHITE,,,,,,,,,,,7,1,,,,,,,,
257,WHITE,Müller Thurgau Feldmarschall,,,,Tiefenbrunner,2020,34.9,5,,,96,15,650m.ü.M.   Gärung; Edelstahl,,,,,,,
258,WHITE,,,,,,,,,,,7,,,,,,,,,
259,WHITE,Müller Thurgau,,,,Castel Juval - Unterortl,2021,11.20,2,,,44,7,750-850m.ü.M. Gärung; im Stahlfass. Ausbau auf der Hefe,,,,,,,
260,WHITE,,,,,,,,,,,7,1,,,,,,,,
261,WHITE,,,,,,,,,,,7,1,,,,,,,,
262,WHITE,,,,,,,,,,,7,1,,,,,,,,
263,WHITE,Pinot Grigio ,,,,,,,,,,7,1,,,,,,,,
264,WHITE,Pinot Grigio Porer,,,,Alois Lageder,2021,14.45,3,,,50,8,230-420m.ü.M. Gärung; Edelstahltank. Ausbau; 4 Monate auf der Feinhefe.,,,,,,,
265,WHITE,,,,,,,,,,,7,,,,,,,,,
266,WHITE,,,,,,,,,,,7,1,,,,,,,,
267,WHITE,,,,,,,,,,,7,,,,,,,,,
268,WHITE,Pinot Grigio Unterebner ,,,,Kellerei Tramin,2021,19.8,3,2022-2 ,,65,10,430m.ü.M. Gärung; Holzfass. Ausbau; Holzfass zu 80% und im kleinen Barriques zu 20% . Im Barrique mit BSA.,,,,,,,
269,WHITE,,,,,,,,,,,7,,,,,,,,,
270,WHITE,,,,,,,,,,,7,1,,,,,,,,
271,WHITE,,,,,,,,,,,,,,,,,,,,
272,WHITE,,,,,,,,,,,7,1,,,,,,,,
273,WHITE,Grauer Burgunder Klausner,,,,Armin Kobler,2021,9.1,2,2018-1 ,,37,6,209m.ü.M. Vinifizierung im Stahlfass ohne BSA. Keine Weinstabilisierung.,,,,,,,
274,WHITE,Pinot Grigio St. Valentin,,,,St. Michael Eppan,2021,21.50,0,2022-2,1,70,11,,,,,,,,
275,WHITE,Pinot Grigio Punggl,,,,Nals Margreid,2021,12.40,1,2022-2,,48,7,7 Monate im Edelstahltank und Holzfass.,,,,,,,
276,WHITE,Pinot Grigio Ringberg,,,,Elena Walch,2022,17.30,2,2021-1,,58,9,"350m.ü.M. Gärung; 85% Stahltank, 15% im franz. Eiche mit BSA. Cuvee im Frühjahr.",,,,,,,
277,WHITE,,,,,,,,,,,7,1,,,,,,,,
278,WHITE,,,,,,,,,,,7,1,,,,,,,,
279,WHITE,,,,,,,,,,,7,1,,,,,,,,
280,WHITE,Cuvée ,,,,,,,,,,7,1,,,,,,,,
281,WHITE,Liebenstein,,,"chardonnay, weissburgunder",Baron Longo,2020,22,3,,,72,11,Gärung im Stahltank. Ausbau auf der Hefe für 6 Monate im Stahlfass und Akazienhlzfass.,,,,,,,
282,WHITE,Zeus,,,"Chardonnay, Gewürztraminer und Sauvignon",Oxenreiter,s.a.,27.5,3,,,88,14,Gärung im Stahltank. Ausbau auf der Hefe für 6 Monate im Stahlfass und Akazienhlzfass.,,,,,,,
283,WHITE,Stoan ,,,"60%chardonnay, 25%sauvignon, 10%pinot blanc, 5%gewürztraminer",Kellerei Tramin,2022,19.9,3,,,66,10,400-550m.ü.M. Gärung; Holzfass. Ausbau; grossen Holzfass auf der Hefe bis mitte Mai. ,,,,,,,
284,WHITE,Amistar Cuvée Bianco,,,"80% chardonnay, 20% sauvignon",Peter Sölva & Söhne,2022,25.00,2,,1,81,13,260-380m.ü.M. Gärung; Edelstahltank. Ausbau; 6 Monate auf der Feinhefe. Nach dem Cuvee weitere Reifung.,,,,,,,
285,WHITE,Nova Domus ,,,,,2021,29.1,2,,1,83,13,"250-500m.ü.M. Handlese. Gärung im Eichenfass 30hl. Partieller BSA (Weissburgunder & Chardonnay). 12 Monate Reife im Holzfasss 50%, 50% Tonneau, Assemblage 3 Monate vor der Abfüllung.",,,,,,,
286,WHITE,Dona Blanc ,,,"60%pinot blanc, 40%chardonnay",Hartmann Donà,2019,21.5,0,2020-3,,79,13,Gärung ; mehrere Wochen im Holzfass mit BSA. . Ausbau;23 Monate auf der Hefe im Holzfass. 2 Jahre Flaschenlagerung.,,,,,,,
287,WHITE,Dolomythos Weiss ,,,"sauvignon, riesling, pinot grigio, …",Ansitz Dolomythos - Panta Rei,2018,29.90,1,Amphorenflaschen 3,,89,14,"150l Holzfässern vergoren und 24 Monate gelagert. 400m.ü.M. Professor Rainer Zierock(Verstorben 09), hat das ganze Weinanwesen nach seinen Wünschen umgebaut, die griechische Mythologie stand dabei im Mittelpunkt.",,,,,,,
288,WHITE,Weisses Handwerk,,,"60% Chardonnay, 20% Weissburgunder, 20% Sauvignon",Kellerei Kiemberger,2021,19.5,0,aus,2,65,10,,,,,,,,
289,WHITE,Die Perle,,nummer im keller ändern,"pinot grigio, riesling, assyrtiko, sauvignon…",Ansitz Dolomythos - Panta Rei,2005,40,0,nicht gelistet,5,120,20,,,,,,,,
290,WHITE,Mittelberg Weiss Trias,,,"90%chardonnay, 5%petit Mangseng, 5%incrocio manzoni",Weingut Niedrist,2021,20.9,3,,,69,11,450-500m.ü.M. Gärung; Barrique. Ausbau;auf der Feinhefe bis zur Abfüllung.,,,,,,,
291,WHITE,Reseve della Contessa Bio ,BIO,,"60%pinot blanc, 30%chardonnay, 10%sauvignon",Manincor,2023,14.2,3,,,49,8,300m.ü.M. 6h Mazeratin. Gärung; spontan im Holzfass mit Traubeneigener Hefe. Ausbau; 6 Monate auf der Feinhefe,,,,,,,
292,WHITE,Beyound the Clouds,,,"chardonnay, …",Elena Walch,2022,59,3,nicht gelistet,,120,20,gemeinsames Abpressen und vergären der verschiedenen Trauben im franz Barriques. 3 Monate wöchentliche Batonnage. 10 Monate Reifung im Barrique. 6 Monate Flaschenlagerung.,,,,,,,
293,WHITE,Casòn Hirschprunn ,BIO,,"viognier, petit manseng",Tenutae Lageder,2020,30.00,2,2021-1 ,,84,14,230-360m.ü.M. Gärung; Spontan im Barriques(franz.Eiche1/3 neu) Ausbau; 11 Monate auf der Feinhefe.,,,,,,,
294,WHITE,Grande Cuvee ,,,"90% Pinot blanc, 7% Chardonnay, 3% Sauvignon",Kellerei Terlan,2020,149.90,3,,,330,54,"Gärung im Eichenholzfass. BSA und Ausbau für 12 Monate auf der Feinhefe im grossen Holzfass. Cuvee, Danach 4 Monate im Stahltank",,,,,,,
295,WHITE,Adamantis,,,"Sylvaner, Grüner Veltliner, Pinot Grigio und Kerner",,2020,68.00,3,,,150,24,,,,,,,,
296,WHITE,Private Cuvée,,,"Grüner Veltliner, Sauvignon, Riesling",Pacherhof,2020,27.9,0,2021-8,,89,14,,,,,,,,
297,WHITE,,,,,,,,,,,7,1,380m.ü.M. Gärung; Spontangärung. Ausbau; im grossen Holzfass & gebrauchten Barriques. Reifung ohne Schwefelung für 10 Moante auf der Gärhefe. 7 Monate Flaschenlagerung.,,,,,,,
298,WHITE,,,,,,,,,,,7,,,,,,,,,
299,WHITE,,,,,,,,,,,7,,,,,,,,,
300,WHITE,,,,,,,,,,,7,1,,,,,,,,
301,WHITE,,,,,,,,,,,7,,,,,,,,,
302,WHITE,,,,,,,,,,,7,1,,,,,,,,
303,WHITE,,,,,,,,,,,7,,,,,,,,,
304,WHITE,,,,,,,,,,,7,1,,,,,,,,
305,WHITE,Gewürztraminer,,,,,,,,,,7,1,,,,,,,,
306,WHITE,,,,,,,,,,,7,,,,,,,,,
307,WHITE,Gewürztraminer St. Valentin,,,,St. Michael Eppan,2021,19.1,1,2022-1 ,,63,10,300-500m.ü.M. Handlese. Vinifikation im Stahltank.,,,,,,,
308,WHITE,,,,,,,,,,,7,,,,,,,,,
309,WHITE,Gewürztraminer,,,,Pacherhof,2022,16.9,3,,,57,9,650m.ü.M. Handlese. Gärung; Stahltank. Ausbau; auf der Hefe für 8 Monate,,,,,,,
310,WHITE,,,,,,,,,,,7,1,650m.ü.M. Handlese. Gärung; Stahltank. Ausbau; auf der Hefe für 8 Monate,,,,,,,
311,WHITE,Gewürztraminer Feld,,,,Armin Kobler,2022,10.6,2,,1,42,6,214m.ü.M. Vinifikation im Stahlfass auf der Feinhefe. Kein BSA. Keine Weinstabilisierung.,,,,,,,
312,WHITE,,,,,,,,,,,7,1,"700m.ü.M. Gärung; 6,5 Monate im Stahltank.",,,,,,,
313,WHITE,,,,,,,,,,,7,,,,,,,,,
314,WHITE,,,,,,,,,,,7,,,,,,,,,
315,WHITE,,,,,,,,,,,7,1,300-500m.ü.M. Gärung; Edelstahltank. Ausbau; 6 Monate im Edelstahlfass,,,,,,,
316,WHITE,Gewürztraminer Exilissi Sell ,,,,Baron di Pauli,2016,24.7,2,,,80,13,480-550m.ü.M. Mehrtägige Mazeration. Gärung; Spontan im grossen Eichenfass. Ausbau; 13 Monate grosse Eichenholzfässer,,,,,,,
317,WHITE,,,,,,,,,,,7,1,,,,,,,,
318,WHITE,,,,,,,,,,,7,1,480-550m.ü.M. Mehrtägige Mazeration. Gärung; Spontan im grossen Eichenfass. Ausbau; 13 Monate grosse Eichenholzfässer,,,,,,,
319,WHITE,,,,,,,,,,,,,,,,,,,,
320,WHITE,,,,,,,,,,,,,,,,,,,,
321,WHITE,Gewürztraminer Kolbenhof,,,,Hofstätter,2020,21.5,2,,,70,11,einige Stunden Kontakt mit Schalen. Reifung für 8 Monate auf der Feinhefe mit wöchentlicher Batonnage,,,,,,,
322,WHITE,,,,,,,,,,,7,1,,,,,,,,
323,WHITE,Gewürztraminer Kolbenhof,,,,Hofstätter,2009,25.05,1,2007-1,,81,13,einige Stunden Kontakt mit Schalen. Reifung für 8 Monate auf der Feinhefe mit wöchentlicher Batonnage,,,,,,,
324,WHITE,,,,,,,,,,,7,1,einige Stunden Kontakt mit Schalen. Reifung für 8 Monate auf der Feinhefe mit wöchentlicher Batonnage,,,,,,,
325,WHITE,Gewürztraminer Nussbaumer,,,,Kellerei Tramin,2022,21.5,3,,,70,11,350-550m.ü.M. Gärung; Stahltank. ,,,,,,,
326,WHITE,,,,,,,,,,,7,1,350-550m.ü.M. Gärung; Stahltank. ,,,,,,,
327,WHITE,,,,,,,,,,,7,1,350-550m.ü.M. Gärung; Stahltank. ,,,,,,,
328,WHITE,,,,,,,,,,,7,1,350-550m.ü.M. Gärung; Stahltank. ,,,,,,,
329,WHITE,,,,,,,,,,,7,,,,,,,,,
330,WHITE,,,,,,,,,,,7,,,,,,,,,
331,WHITE,Gewürztraminer ,,,,Gumphof,2018,11.65,2,,,45,7,Vinifikation; Stahlfass,,,,,,,
332,WHITE,,,,,,,,,,,7,,,,,,,,,
333,WHITE,Gewürztraminer Kastelaz,,,,Elena Walch,2022,26.9,3,,,86,14,350.m.ü.M. Maischekontakt von 6h. Gärung; Stahltank. Ausbau; langer Hefekontakt.,,,,,,,
334,WHITE,Gewürztraminer Epokale,,,,Kellerei Tramin,2016,,6,,,165,27,,,,,,,,
335,WHITE,Gewürztraminer Epokale,,,,Kellerei Tramin,2015,65,3,,,175,29,,,,,,,,
336,WHITE,,,,,,,,,,,7,,,,,,,,,
337,WHITE,Goldmuskateller,,,,,,,,,,7,1,,,,,,,,
338,WHITE,,,,,,,,,,,7,1,Ausbau; im Stahl und Betontank.,,,,,,,
339,WHITE,Goldmuskateller,,,,Bessererhof,2013,7.75,2,,,32,5,Ausbau; Edelstahltank ohne BSA.,,,,,,,
340,WHITE,Goldmuskateller,,,,Klosterhof,2012,7.9,3,,,33,5,450.m.ü.M.  Gärung; Stahltank. Ausbau; 6 Monate auf der Feinhefe in einheimischen Akazienhlzässern,,,,,,,
341,WHITE,Moscato Giallo BIO,BIO,,,Manincor,2021,12.2,2,,,47,7,350m.ü.M. 12h Mazeration. Gärung; Holzfass & Stahltank. ,,,,,,,
342,WHITE,Flow,,,"trebbiano, vermentino, malvasia bianca, canaiolo bianco …",AMProjects,2022,48,10,,,106,17,,,,,,,,
343,WHITE,Nosiola,,,,Cesconi,2020,11.2,2,2011-1,,44,7,,,,,,,,
344,WHITE,Terre Bianche,,,,De Vigili,2020,9.5,14,,,38,6,,,,,,,,
345,WHITE,,,,,,,,,,,7,,,,,,,,,
346,WHITE,Terre Alte ,,,"tocai friulano, pinot blanc, sauvignon",Felluga,2015,41.5,1,"2018-1 2020-3  2021-1 (63,9)",,114,19,"Handlese.Ausbau; 10 Monate, Friulano in kleinen franz. Eichenholz ausgebaut, Pinot blanc & Sauvignon im Stahlfass augebaut. Nach der Assemblage 9 Monate Flaschenlagerung.",,,,,,,
347,WHITE,Ribolla Zuc di Volpe,,,Ribolla ( autochton),Volpe Pasini,2013,10.25,3,,1,40,6,Gärung: Stahltank. Ausbau; Flaschenlagerung.,,,,,,,
348,WHITE,Sauvignon de la Tour ,,,,Villa Russiz,2017,23,2,2020-1 ,,75,12,Handlese. Kelterung der ganzen Trauben. Mind. 7 Monate auf der Hefe. Abfüllung nach 9 Monaten.,,,,,,,
349,WHITE,Friulano Collio ,,,tocai friulano,Villa Russiz,2021,12.3,3,,,47,7,Handlese. 12h Maischezeit. Geringer Teil in 225l Eichenholzfässer gegärt. 10 Monate auf der Hefe. Nach 12 Monaten wird er abgefüllt.,,,,,,,
350,WHITE,,,,,,,,,,,7,,,,,,,,,
351,WHITE,Sauvignon,,,,Puiatti,2017,9,5,,,36,6,,,,,,,,
352,WHITE,Madre ,BIO,,incrocio manzoni 6.0.13,Italo Cescon,2019,19.5,6,,,65,10,,,,,,,,
353,WHITE,Soave Vintage ,,,"25-30%garganega, 25%trebbiano, 20%tocai, 15%cortese, riesling italico, pinot blanc, chardonnay ",bertani,2016,9,1,,2,36,6,,,,,,,,
354,WHITE,Lugana Brolettino ,,,turbiana,Cà dei Frati,2021,14.2,1,2022-2 ,,49,8,Gärung: Stahltank.  Ausbau: Barriques für 10 Monate mit teilweise BSA. 3 Monate Flaschenlagerung.,,,,,,,
355,WHITE,Rossj-Bass,,,chardonnay,Gaja,2021,56,1,"2023-2 (59,6)",,123,20,Preis. Gärung; 4 Wochen im Stahl.BSA Und Ausbau für 7 Monate im Barrique.,,,,,,,
356,WHITE,Derthona Timorasso ,,,timorasso,Mariotto Claudo,2019,11.2,1, 2021-2,,44,7,250-300m.ü.M. Handlese. Auf der Hefe gelagert.,,,,,,,
357,WHITE,"Blanc de Morgex et de La Salle ""Nathan"" ",,,prié blanc,Ermes Pavese,2012,12.5,4,,,48,7,"900-1200m.ü.M. Handlese. Handgepresst. Mazeration für 48h. Ausbau: 1 Jahr 70% im franz. Barriques, mit batonnage, 30% im Stahlfass. 10 Moante Flaschenlagerung.",,,,,,,
358,WHITE,Petite Arvine ,,,petite arvine,Les Crêtes,2018,10.9,2,,,43,7,550-650m.ü.M. Handlese. Gärung; Stahltank. Ausbau; 6 Monate auf der Feinhefe mit Batonnage.,,,,,,,
359,WHITE,Chardonnay,,,,Les Crêtes,2016,13.55,1,2018-3 ,,47,7,600-850m.ü.M. Handlese. Gärung; Stahltank. Ausbau; 6 Monate auf der Hefe mit Batonnage.,,,,,,,
360,WHITE,Sopraquota 900,,,petite arvine,Rosset,2020,32.7,0,,6,90,14,,,,,,,,
361,WHITE,Chardonnay ,,,,Monteverro,2018,68.9,1,2021-2 ,,152,25,Pressen der ganzen Beeren. Natürliche Gärung. Ausbau; 14 Monate auf der Feinhefe mit Batonnage im franz. Eichenbarriques 30% neues Holz und im Beton-Ei. Keine schönung. Leichte Filtration,,,,,,,
362,WHITE,Solosole Bolgheri Vermentino,,,,Tenuta al Tesoro,2017,30.7,16,,,84,14,,,,,,,,
363,WHITE,Viognier Ars Magna,,,viognier,Omina Romana,2020,35.9,3,,,99,16,,,,,,,,
364,WHITE,,,,,,,,,,,7,,,,,,,,,
365,WHITE,,,,,,,,,,,7,1,,,,,,,,
366,WHITE,Trebbiano Maria Cvetic ,,,,Masciarelli,2020,28.9,2,2021-1,,87,14,250m.ü.M. Fermentation in neuen Barrique. Ausbau; für 18 Monate auf der Hefe. 12 Monate Flaschenlagerung.,,,,,,,
367,WHITE,"Verdicchio Jesi Classico Superiore ""Il Coroncino"" ",,,,Coroncino,2013,7.8,2,,,32,5,12 Monate im Stahl.,,,,,,,
368,WHITE,Massaccio Verdicchio Superiore,,,,fazi battaglia,2016,,3,,,33,5,,,,,,,,
369,WHITE,,,,,,,,,,,7,1,,,,,,,,
370,WHITE,Chardonnay,,,,Planeta,2014,16.2,3,,,55,9,Ausbau; grösster Teil im 50% Neuen Barriques für 1 Jahr,,,,,,,
371,WHITE,,,,,,,,,,,7,,,,,,,,,
372,WHITE,,,,,,,,,,,7,,,,,,,,,
373,WHITE,,,,,,,,,,,7,,,,,,,,,
374,WHITE,,,,,,,,,,,7,,,,,,,,,
375,WHITE,,,,,,,,,,,7,,,,,,,,,
376,WHITE,Österreich,,,,,,,,,,7,,,,,,,,,
377,WHITE,Grüner Veltliner Federspiel Rotes Tor,,,Wachau,Hirtzberger,2021,25,3,,,81,13,,,,,,,,
378,WHITE,Grüner Veltliner Smaragd Hochrain,,,Wachau,Rudi Pichler,2021,35.5,0,nicht gelistet,3,98,16,"6 Jahre im Barrique. Nicht Filtriert. 4 Generation. einziges Spanisches Weingut, dass eigene Fässer aus amerikanischer Eiche produziert ( nur eigengebrauch).",,,,,,,
379,WHITE,Grüner Veltliner Steinertal Smaragd,,,Wachau,Alzinger,2016,32,0,nicth gelistet,2,88,14,,,,,,,,
380,WHITE,Grüner Veltliner Smaragd Ried Loibenberg,,,Wachau,E. Knoll,2019,33.5,1,,2,92,15,,,,,,,,
381,WHITE,Grüner Veltliner Smaragd Ried Loibenberg,,,Wachau,E. Knoll,2008,62.5,2,,1,138,22,,,,,,,,
382,WHITE,Grüner Veltliner Grub,,,Kamptal,Hirsch,2019,31.9,3,,,88,14,,,,,,,,
383,WHITE,Grüner Veltliner Langenloiser Alter Reben,BIO,,Kamptal,Bründlmayr,2020,38,5,,,105,17,,,,,,,,
384,WHITE,Grüner Veltliner Alte Reben ,,,Kremstal,Nigl,2012,13.8,1,,2,48,7,600-750m.ü.M. Gärbehälter; Holzfass,,,,,,,
385,WHITE,Grüner Veltliner Kalkvogel GV,,,Weinviertel,Zillinger,2020,28.1,5,,,77,,,,,,,,,
386,WHITE,Grüner Veltliner Radikal GV,,,Weinviertel,Zillinger,2019,47.9,6,,,105,,,,,,,,,
387,WHITE,,,,,,,,,,,7,,,,,,,,,
388,WHITE,Riesling Steinterassen  Federspiel ,,,Wachau,Hirtzberger,2019,29,2,2022-1,,80,13,,,,,,,,
389,WHITE,Riesling Smaragd Hochrain,,,Wachau,Hirtzberger,2022,59,1,preis,2,98,,,,,,,,,
390,WHITE,Riesling Smaragd Achleiten,,,Wachau,Domäne Wachau,2016,21.5,2,,1,70,11,,,,,,,,
391,WHITE,Riesling Smaragd Ried Kellerberg,,,Wachau,E. Knoll,2022,43,6,,,118,19,,,,,,,,
392,WHITE,Riesling - Kamptaler Terrassen,,,Kamptal,Bründlmayr,2021,12.95,3,,,49,,,,,,,,,
393,WHITE,Riesling - Zöbinger Heiligenstein Lyra,,,Kamptal,Bründlmayr,2016,43.5,1,,1,120,,,,,,,,,
394,WHITE,Sauvignon Grassnitzberg ,,,Steiermark,Tement,2019,25.90,2,2020-1 ,,84,13,Ausbau; im grossen neutralen Eichenfass und im Stahltank. 8 Monate auf der Feinhefe.,,,,,,,
395,WHITE,Sauvignon Blanc Klausen ,,,Steiermark,Neumeister,2012,16.1,2,,1,54,9,"340m.ü.M. Rebalter; 10-25 Jahre. Gärung; Kaltmazeration 18-24h, fermentation im grossen Holz. Ausbau; 8 Monate im Holz auf der Hefe.",,,,,,,
396,WHITE,,,,,,,,,,,7,,,,,,,,,
397,WHITE,,,,,,,,,,,7,,,,,,,,,
398,WHITE,,,,,,,,,,,7,,,,,,,,,
399,WHITE,,,,,,,,,,,7,,,,,,,,,
400,WHITE,Deutschland,,,,,,,,,,7,,,,,,,,,
401,WHITE,Riesling Steinreich,,,Mosel,Clüsserath,2018,23.5,1,2019-1 2021-1,,76,12,,,,,,,,
402,WHITE,Riesling Blauschiefer,,,Mosel,Dr. Loosen,2018,14.1,2,2021-1,,48,8,,,,,,,,
403,WHITE,Red Slate Dry (=Rotschiefer) QbA,,,Mosel,Dr. Loosen,2022,11.85,3,,,46,,,,,,,,,
404,WHITE,Riesling Schieferterrassen,,,Mosel,Heymann-Löwenstein,2019,23.9,3,,,78,12,,,,,,,,
405,WHITE,Graacher Domprobst GG,,,Mosel,Dr. Loosen,2021,32.5,2,,,89,,,,,,,,,
406,WHITE,Erdener Treppchen GG Alte Reben,,,Mosel,Dr. Loosen,2018,36.95,0,,3,102,,,,,,,,,
407,WHITE,Riesling Wehlener Sonnenuhr - Spätlese ,,,Mosel,Markus Molitor,2020,26.5,3,,,85,,,,,,,,,
408,WHITE,Riesling Wehlener Sonnenuhr  BKS Ring ,,,Mosel,Kerpen,2018,19,2,,1,63,10,,,,,,,,
409,WHITE,Zeltinger Sonnenuhr - Auslese ***,,,Mosel,Markus Molitor,2019,94.5,2,,,208,,,,,,,,,
410,WHITE,Wehlener Sonnenuhr Alte Reben GG,,,Mosel,Prüm,2013,49.5,5,,,109,,,,,,,,,
411,WHITE,Riesling Tonschiefer ,,,Nahe,Dönnhoff,2022,14.95,3,,,51,8,Handlese. Vergärung und Reife im Edelstahl und grossen Holzfass,,,,,,,
412,WHITE,Riesling Hermannshöhle - Grösses Gewachs,,,Nahe,Dönnhoff,2022,84.95,2,,,187,,,,,,,,,
413,WHITE,Dellchen - GG Grösses Gewachs,,,Nahe,Dönnhoff,2021,79.75,2,,,175,,,,,,,,,
414,WHITE,Riesling Kalkmergel,,,Pfalz,Knipser,2015,13.78,4,,,48,7,,,,,,,,
415,WHITE,Riesling Grande reserve,,,Pfalz,Metzger,2014,21.4,2,Special Cut 2020-1,,70,11,,,,,,,,
416,WHITE,Riesling Ungeheuer GG,,,Pfalz,von Winning,2020,37.5,2,,,103,17,"Seit 1744, der Grossvater baute das Weingut nach dem 2. Weltkrieg wieder auf. 105-275m.ü.M. ",,,,,,,
417,WHITE,,,,,,,,,,,7,,,,,,,,,
418,WHITE,Riesling Westhofen,,,Rheinhessen,Wittmann,2021,29,3,,,80,13,spontan vergoren. Ausbau;6-7 Monate im Stahltank.,,,,,,,
419,WHITE,,,,,,,,,,,7,,,,,,,,,
420,WHITE,Riesling Kiedrich Turmberg ,,,Rheingau,Robert Weil,2015,21.4,1,,1,70,11,"Baut nur Riesling an. Handlese, beginnt selten vor Oktober und dauert bis zu 8 Wochen( nur die beste Qualität). Rebalter; 50+.",,,,,,,
421,WHITE,Silvaner Eigenart,,,Franken,Max Müller,2012,13,23,,,67,11,,,,,,,,
